article_id,title,url,publisher,hostname,timestamp,category
1559,"Herbalife faces US inquiry, shares plunge",http://www.cbsnews.com/news/herbalife-facing-us-inquiry-shares-plunge/,CBS News,www.cbsnews.com,1390000000000.0,0
1498,Quiznos Follows Sbarro Into Bankruptcy Court,http://www.bloomberg.com/news/2014-03-15/quiznos-follows-sbarro-into-bankruptcy-court.html,Bloomberg,www.bloomberg.com,1400000000000.0,0
3460,Colorado company asking for public's help finding missing Malaysian airliner,http://www.13abc.com/story/24938813/colorado-company-asking-for-publics-help-finding-missing-malaysian-airliner,13abc Action News,www.13abc.com,1390000000000.0,0
4016,Will FOMC Be Kind To Stocks?,http://www.investing.com/analysis/will-fomc-be-kind-to-stocks-206308,Investing.com,www.investing.com,1400000000000.0,0
1348,Stocks move lower on discouraging news from Asia,http://siouxcityjournal.com/business/stocks-move-lower-on-discouraging-news-from-asia/article_d4d7f067-c563-555e-9187-bddcb279da5e.html,Sioux City Journal,siouxcityjournal.com,1390000000000.0,0
5898,Zions Fails to Clear Stress Test,http://www.zacks.com/stock/news/127295/zions-fails-to-clear-stress-test,Zacks.com,www.zacks.com,1400000000000.0,0
4059,Crude-Oil Futures Fall as China Signals Demand Concerns,http://online.wsj.com/article/BT-CO-20140310-705910.html,Wall Street Journal,online.wsj.com,1390000000000.0,0
4546,Indiana Unemployment Rate Down,http://wibqfm.com/news/articles/2014/mar/18/indiana-unemployment-rate-down/,WIBQ,wibqfm.com,1400000000000.0,0
4587,Unemployment rates fell in 43 US states in January,http://www.stltoday.com/business/local/unemployment-rates-fell-in-u-s-states-in-january/article_2ab98528-c42a-5bfe-afae-9d7fff0c4732.html,STLtoday.com,www.stltoday.com,1400000000000.0,0
2426,Crude drops on soft Chinese trade figures,http://www.nasdaq.com/article/crude-drops-on-soft-chinese-trade-figures-cm333912,NASDAQ,www.nasdaq.com,1390000000000.0,0
4492,Slight increase in state's January unemployment rate,http://www.businessrecord.com/Content/Default/-All-Latest-News/Article/Slight-increase-in-state-s-January-unemployment-rate/-3/248/62747,Business Record,www.businessrecord.com,1400000000000.0,0
5446,"Symantec Halted, Drops 6%: CEO Bennett Terminated, Board Member Brown  ...",http://blogs.barrons.com/techtraderdaily/2014/03/20/symantec-shares-halted-pending-news/,Barron's \(blog\),blogs.barrons.com,1400000000000.0,0
4052,"Wall Street to digest weak China, Japan data",http://au.finance.yahoo.com/news/wall-street-digest-weak-china-095423085.html,Yahoo\!7 News,au.finance.yahoo.com,1390000000000.0,0
489,"China Jan-Feb factory output up 8.6%, a five-year low",http://zeenews.india.com/business/news/international/china-jan-feb-factory-output-up-8-6-a-five-year-low_96109.html,Zee News,zeenews.india.com,1390000000000.0,0
2196,Bitcoin exchange Mt. Gox files for bankruptcy in the US,http://www.engadget.com/2014/03/10/mt-gox-us-bankruptcy/,Engadget,www.engadget.com,1390000000000.0,0
4939,Symantec Corporation: Symantec Announces CEO Transition,http://www.twst.com/update/47574-symantec-corporation-symantec-announces-ceo-transition,The Wall Street Transcript,www.twst.com,1400000000000.0,0
6027,Unemployment in metro Fort Wayne rose slightly in January,http://www.journalgazette.net/article/20140317/BIZ/140319417/1031/BIZ,Fort Wayne Journal Gazette,www.journalgazette.net,1400000000000.0,0
1579,Wall St cuts losses as diplomacy ramps up in Ukraine,http://www.buenosairesherald.com/article/154235/wall-st-cuts-losses-as-diplomacy-ramps-up-in-ukraine,Buenos Aires Herald,www.buenosairesherald.com,1390000000000.0,0
185,Bond default crisis in China 'unlikely' this year,http://business.financialpost.com/2014/03/10/bond-default-crisis-in-china-unlikely-this-year/,Financial Post,business.financialpost.com,1390000000000.0,0
5503,Florida Unemployment Drops to Lowest Rate Since 2008,http://www.nbcmiami.com/news/local/New-Unemployment-Numbers-for-Florida-Due-Out-250584771.html,NBC 6 South Florida,www.nbcmiami.com,1400000000000.0,0
4563,Symantec CEO firing raises doubts about turnaround,http://timesofindia.indiatimes.com/Tech/Tech-News/Symantec-CEO-firing-raises-doubts-about-turnaround/articleshow/32487469.cms,Times of India,timesofindia.indiatimes.com,1400000000000.0,0
4217,$A falls as Ukraine tensions escalate,http://au.finance.yahoo.com/news/falls-ukraine-tensions-escalate-203710339.html,Yahoo\!7 News,au.finance.yahoo.com,1390000000000.0,0
5821,Fired Symantec CEO ?€?not a technical person?€?,http://www.cbronline.com/news/tech/software/malware/fired-symantec-ceo-not-a-technical-person-4201725,Computer Business Review,www.cbronline.com,1400000000000.0,0
3941,METALS-Copper at 8-month low on fears China deals could unwind,http://in.reuters.com/article/2014/03/10/markets-metals-idINL6N0M70WF20140310,Reuters,in.reuters.com,1390000000000.0,0
3885,Midday Market Stats: The Boeing Company Pressures the Dow Jones Industrial  ...,http://www.schaeffersresearch.com/commentary/content/blogs/midday+market+stats+the+boeing+company+pressures+the+dow+jones+industrial+average/trading_floor_blog.aspx\?blogid=120103,Schaeffers Research \(blog\),www.schaeffersresearch.com,1390000000000.0,0
909,"UPDATE 2-American Eagle's forecast disappoints, shares slip",http://in.reuters.com/article/2014/03/11/amer-eagle-out-results-idINL3N0M83HX20140311,Reuters,in.reuters.com,1390000000000.0,0
4811,Mulberry chief executive steps down in wake of profits warning,http://www.theguardian.com/business/2014/mar/20/mulberry-chief-executive-profits-bruno-guillon-handbag,The Guardian,www.theguardian.com,1400000000000.0,0
340,European Stocks Slide to One-Month Low on China Fears,http://english.capital.gr/News.asp\?id=1974165,Capital.gr \(press release\),english.capital.gr,1390000000000.0,0
910,"S&P 500 Erases Loss as Investors Weigh Economy, Ukraine",http://www.businessweek.com/news/2014-03-12/u-dot-s-dot-stock-index-futures-are-little-changed-after-s-and-p-500-drop,Businessweek,www.businessweek.com,1390000000000.0,0
4838,Adrian Wyllie Not Buying Rick Scott's Take on Unemployment Rate,http://www.sunshinestatenews.com/blog/adrian-wyllie-not-buying-rick-scotts-take-unemployment-rate,Sunshine State News \(blog\),www.sunshinestatenews.com,1400000000000.0,0
4437,Unemployment in metro Fort Wayne rose slightly in January,http://www.journalgazette.net/article/20140317/BIZ/140319417/1031/BIZ,Fort Wayne Journal Gazette,www.journalgazette.net,1400000000000.0,0
516,Europe shares close mixed as Ukraine weighs; Dax outperforms,http://www.cnbc.com/id/101482410,CNBC.com,www.cnbc.com,1390000000000.0,0
1804,"Gold hits near 6-month high as equities fall on China, Ukraine",http://economictimes.indiatimes.com/markets/commodities/gold-hits-near-6-month-high-as-equities-fall-on-china-ukraine/articleshow/31902802.cms,Economic Times,economictimes.indiatimes.com,1390000000000.0,0
4086,Aust stocks set to open lower,http://www.businessspectator.com.au/news/2014/3/10/financial-markets/australian-sharemarket-tipped-slip-0,Business Spectator,www.businessspectator.com.au,1390000000000.0,0
1774,China significantly weakens yuan,http://www.businessspectator.com.au/news/2014/3/11/exchange-rate/china-significantly-weakens-yuan,Business Spectator,www.businessspectator.com.au,1390000000000.0,0
3230,"Italy's UniCredit in stunning $21B loss, plans turnaround",http://www.stltoday.com/business/local/italy-s-unicredit-in-stunning-b-loss-plans-turnaround/article_869abd2d-63e4-5654-a5fc-8153220bd5a3.html,STLtoday.com,www.stltoday.com,1390000000000.0,0
3108,Stocks drift lower on disappointing data from China,http://www.pressherald.com/business/Stocks_drift_lower_on_disappointing_data_from_China_.html,Press Herald,www.pressherald.com,1390000000000.0,0
5308,SC unemployment down in January,http://www.wrdw.com/home/headlines/SC-unemployment-done-in-January-250651371.html\?ref=371,WRDW-TV,www.wrdw.com,1400000000000.0,0
1120,Asian shares start week with drop,http://www.cityindex.co.uk/market-analysis/financial-news/asian-stock-markets-news/25703232014/asian-shares-start-week-with-drop/,City Index,www.cityindex.co.uk,1390000000000.0,0
422,"Fannie, Freddie shares sink on overhaul plans",http://www.usatoday.com/story/money/business/2014/03/11/fannie-mae-freddie-mac-housing-mortgage-reform/6303817/,USA TODAY,www.usatoday.com,1390000000000.0,0
5209,"German Investor Confidence Falls For Third Month, Euro Widens Losses","http://www.actionforex.com/analysis/daily-forex-fundamentals/german-investor-confidence-falls-for-third-month,-euro-widens-losses-20140318211140/",Action Forex,www.actionforex.com,1400000000000.0,0
4094,Yuan's trading band eased despite slowdown,http://the-japan-news.com/news/article/0001125855,The Japan News,the-japan-news.com,1400000000000.0,0
3551,Bank of England in shake-up after rate manipulation criticism,http://www.bbc.co.uk/news/business-26523995,BBC News,www.bbc.co.uk,1390000000000.0,0
2496,PNC Bank Leads TD Bank with Lower Mortgage Rates Today (March 13),http://www.highlightpress.com/pnc-bank-leads-td-bank-with-lower-mortgage-rates-today-march-13/12515/ckelly,Highlight Press,www.highlightpress.com,1390000000000.0,0
5727,State unemployment rate ticks down to 6. 1 percent,http://kdvr.com/2014/03/17/state-unemployment-rate-ticks-down-to-6-1-percent/,kdvr.com,kdvr.com,1400000000000.0,0
1739,China stocks sink on weak data,http://news.xinhuanet.com/english/china/2014-03/10/c_133175318.htm,Xinhua,news.xinhuanet.com,1390000000000.0,0
5252,Unemployment rate decreases in January,http://csbj.com/2014/03/17/unemployment-rate-decreases-in-january/,Colorado Springs Business Journal,csbj.com,1400000000000.0,0
227,"Dick's Sporting Goods Posts Mixed Results, Offers Weak Forecast",http://247wallst.com/retail/2014/03/11/dicks-sporting-goods-posts-mixed-results-offers-weak-forecast/,24\/7 Wall St.,247wallst.com,1390000000000.0,0
1922,US stocks mixed on Ukraine fears; Dow slides 0.07%,http://www.investing.com/news/stock-market-news/u.s.-stocks-mixed-on-ukraine-fears;-dow-slides-0.07-271850,Investing.com,www.investing.com,1390000000000.0,0
3283,"Clock Running Out, Obamacare Campaign Focuses on Sports Injuries to Enroll  ...",http://www.newsmax.com/newsfront/obamacare-sports-injuries-young/2014/03/18/id/560139/,Newsmax.com,www.newsmax.com,1400000000000.0,0
3702,Mt. Gox Users Now Able to Login and Check Wallet Balances,http://www.slyck.com/story2353_Mt_Gox_Users_Now_Able_to_Login_and_Check_Wallet_Balances_,Slyck,www.slyck.com,1400000000000.0,0
3675,Public transportation at its highest level since 1956,http://www.scpr.org/news/2014/03/10/42710/public-transportation-at-its-highest-level-since-1/,89.3 KPCC,www.scpr.org,1390000000000.0,0
4737,"Symantec fires CEO Bennett, shares fall",http://www.thestar.com.my/Business/Business-News/2014/03/21/Symantec-fires-CEO-Bennett-shares-fall/,The Star Online,www.thestar.com.my,1400000000000.0,0
4901,Symantec in Search of a New Chief After Firing CEO Steve Bennett,http://www.maximumpc.com/symantec_search_new_chief_after_firing_ceo_steve_bennett_2014,Maximum PC,www.maximumpc.com,1400000000000.0,0
4960,Heavy Pressure on Symantec as It Seeks a New CEO,http://www.eweek.com/security/heavy-pressure-on-symantec-as-it-seeks-a-new-ceo.html/,eWeek,www.eweek.com,1400000000000.0,0
4446,"In surprise move, Symantec fires CEO Bennett",http://www.computerworld.com.au/article/541064/surprise_move_symantec_fires_ceo_bennett/,Computerworld Australia,www.computerworld.com.au,1400000000000.0,0
1881,"Wall Street declines on China, Ukraine",http://www.iol.co.za/business/international/wall-street-declines-on-china-ukraine-1.1660334,Independent Online,www.iol.co.za,1390000000000.0,0
